,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
86,Honduras,397548,,10548,,127289,,259711,105,39142,1039,1189896,117155,10156608,North America,26,963,9,,,25571
87,Armenia,391588,1631,8097,11,352985,2349,30506,,131754,2724,2783288,936469,2972109,Asia,8,367,1,549,4,10264
88,Estonia,385567,4621,2065,6,281792,394,101710,17,290345,1555,2913114,2193671,1327963,Europe,3,643,0,3480,5,76591
89,Bosnia and Herzegovina,356930,575,14800,78,192218,,149912,,109887,4556,1643253,505905,3248147,Europe,9,219,2,177,24,46153
90,Oman,354597,2410,4180,8,328215,2355,22202,63,66726,787,25000000,4704345,5314236,Asia,15,1271,0,453,2,4178
91,Qatar,346546,923,652,,333780,1908,12114,43,123422,232,3325285,1184301,2807805,Asia,8,4306,1,329,,4314
92,Kenya,322151,55,5621,,296108,137,20422,7,5787,101,3261313,58588,55665163,Africa,173,9903,17,1,,367
93,Zambia,307317,111,3933,3,300898,225,2486,39,16000,205,3206432,166942,19206814,Africa,62,4884,6,6,0,129
94,North Macedonia,278872,690,8599,21,257956,676,12317,,133865,4128,1821672,874443,2083237,Europe,7,242,1,331,10,5912
95,Cyprus,273634,,745,,124370,,148519,60,224028,610,9477138,7759077,1221426,Asia,4,1639,0,,,121595
96,Albania,264875,251,3387,7,248882,1246,12606,23,92202,1179,1686583,587094,2872766,Europe,11,848,2,87,2,4388
97,Algeria,258478,502,6654,8,172081,540,79743,34,5729,147,230861,5117,45117551,Africa,175,6781,195,11,0,1767
98,Botswana,257167,1126,2593,8,249082,311,5492,1,105936,1068,2026898,834953,2427560,Africa,9,936,1,464,3,2262
99,Nigeria,253780,53,3139,,230145,19,20496,11,1184,15,4158351,19404,214307257,Africa,844,68272,52,0,,96
100,Zimbabwe,230402,,5362,,221027,,4013,12,15149,353,2003328,131719,15209074,Africa,66,2836,8,,,264
